Wa	rsand	rgreen	rbrown	rred
350	0.223	0.037	0.020	0.095
355	0.228	0.037	0.020	0.095
360	0.234	0.037	0.020	0.095
365	0.240	0.037	0.020	0.095
370	0.246	0.037	0.020	0.095
375	0.252	0.037	0.020	0.095
380	0.258	0.037	0.020	0.095
385	0.263	0.037	0.020	0.095
390	0.272	0.037	0.020	0.095
395	0.276	0.042	0.021	0.093
400	0.281	0.046	0.022	0.091
405	0.285	0.047	0.023	0.087
410	0.291	0.047	0.023	0.083
415	0.296	0.046	0.023	0.080
420	0.302	0.046	0.023	0.077
425	0.308	0.045	0.023	0.075
430	0.314	0.043	0.023	0.072
435	0.320	0.042	0.023	0.070
440	0.326	0.043	0.023	0.069
445	0.333	0.048	0.024	0.071
450	0.339	0.055	0.024	0.073
455	0.346	0.060	0.025	0.074
460	0.351	0.063	0.026	0.074
465	0.357	0.064	0.026	0.074
470	0.362	0.066	0.027	0.073
475	0.368	0.067	0.028	0.072
480	0.373	0.069	0.029	0.070
485	0.378	0.072	0.030	0.067
490	0.383	0.077	0.030	0.064
495	0.389	0.087	0.031	0.063
500	0.394	0.103	0.032	0.064
505	0.400	0.125	0.033	0.068
510	0.405	0.151	0.035	0.073
515	0.411	0.180	0.037	0.076
520	0.417	0.208	0.039	0.077
525	0.423	0.231	0.041	0.076
530	0.429	0.246	0.044	0.075
535	0.436	0.257	0.046	0.074
540	0.442	0.263	0.049	0.073
545	0.449	0.267	0.053	0.073
550	0.456	0.269	0.058	0.073
555	0.463	0.270	0.064	0.073
560	0.470	0.267	0.071	0.073
565	0.477	0.261	0.077	0.074
570	0.483	0.253	0.082	0.080
575	0.490	0.243	0.085	0.095
580	0.496	0.235	0.086	0.116
585	0.502	0.227	0.086	0.141
590	0.507	0.222	0.088	0.161
595	0.513	0.217	0.091	0.174
600	0.518	0.215	0.094	0.179
605	0.523	0.210	0.093	0.180
610	0.528	0.204	0.087	0.176
615	0.533	0.196	0.081	0.172
620	0.538	0.189	0.076	0.168
625	0.542	0.184	0.074	0.168
630	0.547	0.180	0.072	0.171
635	0.552	0.174	0.072	0.177
640	0.556	0.164	0.074	0.183
645	0.560	0.151	0.077	0.187
650	0.564	0.139	0.075	0.185
655	0.568	0.128	0.065	0.177
660	0.572	0.115	0.051	0.162
665	0.575	0.099	0.039	0.143
670	0.579	0.083	0.033	0.127
675	0.582	0.075	0.032	0.120
680	0.587	0.078	0.036	0.126
685	0.592	0.101	0.049	0.146
690	0.596	0.148	0.075	0.186
695	0.601	0.212	0.116	0.247
700	0.605	0.276	0.167	0.316
705	0.610	0.329	0.213	0.377
710	0.613	0.368	0.247	0.420
715	0.616	0.395	0.271	0.450
720	0.619	0.414	0.287	0.469
725	0.622	0.427	0.298	0.482
730	0.624	0.435	0.305	0.491
735	0.626	0.440	0.312	0.498
740	0.629	0.444	0.317	0.503
745	0.631	0.446	0.320	0.507
750	0.633	0.447	0.323	0.510
755	0.635	0.447	0.324	0.512
760	0.638	0.447	0.325	0.514
765	0.640	0.447	0.326	0.515
770	0.642	0.446	0.327	0.517
775	0.644	0.446	0.328	0.518
780	0.647	0.446	0.329	0.519
785	0.649	0.446	0.330	0.519
790	0.651	0.446	0.330	0.518
795	0.653	0.446	0.331	0.516
800	0.655	0.445	0.331	0.514
